,,,Min_Tensile,Min_Yield,40,65,100,125,150,200,250,300,325,350,375,400,425,450,475,500,525,550,575,600,625,650,675,700,725,750,775,800,825,850,875,900
MATERIAL,P-No.,Group No.,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa,Mpa
SA–240-800H (N08810),45, … ,450,170,115,111,105,102,99.2,94.2,89.8,85.4,83.4,81.5,79.8,78.5,76.6,75.3,74.2,72.8,72,71.2,69.9,68.4,62.6,50.6,41.2,33.6,27.7,22.6,18.3,15,11.9,9.03,7.35,5.86
SA–240-800H (N08810) (G5),45, … ,450,170,115,115,115,115,115,115,115,115,113,110,108,105,104,102,100,98.6,97.1,95.9,91.8,75.7,62.6,50.6,41.2,33.6,27.7,22.6,18.3,15,11.9,9.03,7.35,5.86
SA–240-N08811,45, … ,450,170,115,111,105,102,99.2,94.2,89.8,85.4,83.4,81.5,79.8,78.5,76.6,75.3,74.2,72.8,72,71.2,69.8,68.6,66.4,56.8,46.8,38.6,31.5,25.5,20.6,17.1,13.8,10.2,7.98,6.2
SA–240-N08811 (G5),45, … ,450,170,115,115,115,115,115,115,115,115,113,110,108,105,104,102,100,98.7,97.1,96.1,94.1,85.5,69.3,56.8,46.8,38.6,31.5,25.5,20.6,17.1,13.8,10.2,7.98,6.2
SA–240-S31254 CL. (>5),8,4,655,310,187,178,167,158,151,140,133,128,125,124,123,122, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S31254 CL. (>5) (G5),8,4,655,310,187,187,186,183,178,170,164,161,160,159,158,158, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S31254 CL. (≤5),8,4,690,310,197,182,166,158,151,140,133,128,125,124,123,122, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S31254 CL. (≤5) (G5),8,4,690,310,197,197,197,193,187,179,173,169,168,167,166,165, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S31803, 10H ,1,620,450,177,177,177,174,171,165,161,160,159, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S32205, 10H ,1,655,450,187,187,187,184,180,174,170,168,168, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–240-S32760, 10H ,1,750,550,214,214,211,206,203,201,201,201,201, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–387-11 CL.1,4,1,415,240,118,118,118,118,118,118,118,118,118,118,118,118,116,114,101,72.9,51.7,36.5,25.2,17.6,12.4,8.08, … , … , … , … , … , … , … , … , … , … 
SA–387-11 CL.2,4,1,515,310,148,148,148,148,148,148,148,148,148,148,148,148,148,143,107,72.9,52.3,36.3,25.2,17.6,12.4,8.08, … , … , … , … , … , … , … , … , … , … 
SA–387-12 CL.1,4,1,380,230,108,107,106,105,104,104,104,104,104,104,104,104,104,104,102,88.8,61.7,40.3,26.4,17.3,11.7,7.4, … , … , … , … , … , … , … , … , … , … 
SA–387-12 CL.2,4,1,450,275,128,128,125,124,123,123,123,123,123,123,123,123,123,123,123,94.4,60.2,40.8,26.3,17.3,11.7,7.4, … , … , … , … , … , … , … , … , … , … 
SA–387-2 CL.1,3,1,380,230,108,108,108,108,108,108,108,108,108,108,108,108,108,106,103,76.7,49.6,31.2, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–387-2 CL.2,3,2,485,310,138,138,138,138,138,138,138,138,138,138,138,138,138,135,130,88.9,46,32.5, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–387-21 CL.1, 5A ,1,415,205,118,118,118,116,114,114,114,114,114,114,114,114,114,113,90.5,68.2,54.1,43.5,34.4,25.3,17.4,10, … , … , … , … , … , … , … , … , … , … 
SA–387-21 CL.2, 5A ,1,515,310,148,148,147,146,144,142,141,141,140,139,138,136,133,127,100,72.8,54.9,40.7,29.4,20.4,15.7,8.64, … , … , … , … , … , … , … , … , … , … 
SA–387-22 CL.1, 5A ,1,415,205,118,118,118,116,114,114,114,114,114,114,114,114,114,114,100,80.9,64,47.7,34.5,23.5,15.5,9.39, … , … , … , … , … , … , … , … , … , … 
SA–387-22 CL.2, 5A ,1,515,310,148,148,147,146,144,142,141,141,140,139,138,136,133,130,116,89.4,64.3,44.9,30.1,19.7,12.9,8.06, … , … , … , … , … , … , … , … , … , … 
SA–387-5 CL.1, 5B ,1,415,205,118,118,118,116,114,114,113,112,111,109,107,104,100,96.1,81.4,61.7,46.4,34.7,25.8,18,11.5,6.68, … , … , … , … , … , … , … , … , … , … 
SA–387-5 CL.2, 5B ,1,515,310,148,148,147,146,143,142,142,140,139,137,134,130,126,104,80.5,62,46.3,34.8,25.8,18,11.5,6.68, … , … , … , … , … , … , … , … , … , … 
SA–387-91 Type 1 CL.2 (t > 75), 15E ,1,585,415,168,168,168,168,168,167,166,164,163,161,157,153,147,141,134,126,117,98.5,75.5,54.3,36.8,24, … , … , … , … , … , … , … , … , … , … 
SA–387-91 Type 1 CL.2 (t ≤ 75), 15E ,1,585,415,168,168,168,168,168,167,166,164,163,161,157,153,147,141,134,126,117,98.5,75.5,54.3,36.8,24, … , … , … , … , … , … , … , … , … , … 
SA–387-91 Type 2 CL.2, 15E ,1,585,415,168,168,168,168,168,167,166,164,163,161,157,153,147,141,134,126,117,102,78.2,57.6,39.2,25.1, … , … , … , … , … , … , … , … , … , … 
SA–516-55,1,1,380,205,108,108,108,108,108,108,108,107,104,101,97.8,89.1,75.4,62.6,45.5,31.6,21.9,12.7, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–516-60,1,1,415,220,118,118,118,118,118,118,118,115,112,108,104,88.9,75.3,62.7,45.5,31.6,21.9,12.7, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–516-65,1,1,450,240,128,128,128,128,128,128,128,125,122,118,114,95,79.6,63.2,45.3,31.7,21.9,12.7, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–516-70,1,2,485,260,138,138,138,138,138,138,138,136,132,128,123,101,83.8,67.1,51,33.6,21.3,12.9, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-A CL.1,3,3,550,345,158,158,158,158,158,158,158,158,158,158,158,158,158,154,106,77.2,55.6,32.1, … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-A CL.2,3,3,620,485,177,177,177,177,177,177,177,177,177,177,177,177,177,177, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-A CL.3, 11A ,4,690,570,197,197,197,197,197,197,197,197,197,197,197, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-B CL.1,3,3,550,345,158,158,158,158,158,158,158,158,158,158,158,158,158,158, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-B CL.2,3,3,620,485,177,177,177,177,177,177,177,177,177,177,177,177,177,177, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-B CL.3, 11A ,4,690,570,197,197,197,197,197,197,197,197,197,197,197,197, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-C CL.1,3,3,550,345,158,158,158,158,158,158,158,158,158,158,158,158,158,158, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-C CL.2,3,3,620,485,177,177,177,177,177,177,177,177,177,177,177,177,177,177, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
SA–533-C CL.3, 11A ,4,690,570,197,197,197,197,197,197,197,197,197,197,197, … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … , … 
